period,respondent,respondent-name,type,type-name,value,value-units
2023-02-12T23,CISO,California Independent System Operator,D,Demand,17821,megawatthours
2023-02-13T00,CISO,California Independent System Operator,D,Demand,18534,megawatthours
2023-02-13T01,CISO,California Independent System Operator,D,Demand,19376,megawatthours
2023-02-13T02,CISO,California Independent System Operator,D,Demand,20725,megawatthours
2023-02-13T03,CISO,California Independent System Operator,D,Demand,23237,megawatthours
2023-02-13T04,CISO,California Independent System Operator,D,Demand,24457,megawatthours
2023-02-13T05,CISO,California Independent System Operator,D,Demand,24168,megawatthours
2023-02-13T06,CISO,California Independent System Operator,D,Demand,24107,megawatthours
2023-02-13T07,CISO,California Independent System Operator,D,Demand,23649,megawatthours
2023-02-13T08,CISO,California Independent System Operator,D,Demand,22533,megawatthours
2023-02-13T09,CISO,California Independent System Operator,D,Demand,21734,megawatthours
2023-02-13T10,CISO,California Independent System Operator,D,Demand,21449,megawatthours
2023-02-13T11,CISO,California Independent System Operator,D,Demand,20441,megawatthours
2023-02-13T12,CISO,California Independent System Operator,D,Demand,20156,megawatthours
2023-02-13T13,CISO,California Independent System Operator,D,Demand,19981,megawatthours
2023-02-13T14,CISO,California Independent System Operator,D,Demand,20689,megawatthours
2023-02-13T15,CISO,California Independent System Operator,D,Demand,22031,megawatthours
2023-02-13T16,CISO,California Independent System Operator,D,Demand,24274,megawatthours
2023-02-13T17,CISO,California Independent System Operator,D,Demand,24943,megawatthours
2023-02-13T18,CISO,California Independent System Operator,D,Demand,23502,megawatthours
2023-02-13T19,CISO,California Independent System Operator,D,Demand,21809,megawatthours
2023-02-13T20,CISO,California Independent System Operator,D,Demand,21243,megawatthours
2023-02-13T21,CISO,California Independent System Operator,D,Demand,20560,megawatthours
2023-02-13T22,CISO,California Independent System Operator,D,Demand,20491,megawatthours
2023-02-13T23,CISO,California Independent System Operator,D,Demand,20610,megawatthours
2023-02-14T00,CISO,California Independent System Operator,D,Demand,21082,megawatthours
2023-02-14T01,CISO,California Independent System Operator,D,Demand,21412,megawatthours
2023-02-14T02,CISO,California Independent System Operator,D,Demand,22914,megawatthours
2023-02-14T03,CISO,California Independent System Operator,D,Demand,25779,megawatthours
2023-02-14T04,CISO,California Independent System Operator,D,Demand,27039,megawatthours
2023-02-14T05,CISO,California Independent System Operator,D,Demand,26727,megawatthours
2023-02-14T06,CISO,California Independent System Operator,D,Demand,26119,megawatthours
2023-02-14T07,CISO,California Independent System Operator,D,Demand,25285,megawatthours
2023-02-14T08,CISO,California Independent System Operator,D,Demand,23863,megawatthours
2023-02-14T09,CISO,California Independent System Operator,D,Demand,22281,megawatthours
2023-02-14T10,CISO,California Independent System Operator,D,Demand,21435,megawatthours
2023-02-14T11,CISO,California Independent System Operator,D,Demand,20795,megawatthours
2023-02-14T12,CISO,California Independent System Operator,D,Demand,20587,megawatthours
2023-02-14T13,CISO,California Independent System Operator,D,Demand,20684,megawatthours
2023-02-14T14,CISO,California Independent System Operator,D,Demand,20939,megawatthours
2023-02-14T15,CISO,California Independent System Operator,D,Demand,22584,megawatthours
2023-02-14T16,CISO,California Independent System Operator,D,Demand,24996,megawatthours
2023-02-14T17,CISO,California Independent System Operator,D,Demand,25979,megawatthours
2023-02-14T18,CISO,California Independent System Operator,D,Demand,25038,megawatthours
2023-02-14T19,CISO,California Independent System Operator,D,Demand,23679,megawatthours
2023-02-14T20,CISO,California Independent System Operator,D,Demand,22536,megawatthours
2023-02-14T21,CISO,California Independent System Operator,D,Demand,21728,megawatthours
2023-02-14T22,CISO,California Independent System Operator,D,Demand,21817,megawatthours
2023-02-14T23,CISO,California Independent System Operator,D,Demand,22206,megawatthours
2023-02-15T00,CISO,California Independent System Operator,D,Demand,22471,megawatthours
2023-02-15T01,CISO,California Independent System Operator,D,Demand,23644,megawatthours
2023-02-15T02,CISO,California Independent System Operator,D,Demand,25072,megawatthours
2023-02-15T03,CISO,California Independent System Operator,D,Demand,27076,megawatthours
2023-02-15T04,CISO,California Independent System Operator,D,Demand,28364,megawatthours
2023-02-15T05,CISO,California Independent System Operator,D,Demand,28164,megawatthours
2023-02-15T06,CISO,California Independent System Operator,D,Demand,27746,megawatthours
2023-02-15T07,CISO,California Independent System Operator,D,Demand,26909,megawatthours
2023-02-15T08,CISO,California Independent System Operator,D,Demand,25379,megawatthours
2023-02-15T09,CISO,California Independent System Operator,D,Demand,23830,megawatthours
2023-02-15T10,CISO,California Independent System Operator,D,Demand,23120,megawatthours
2023-02-15T11,CISO,California Independent System Operator,D,Demand,22583,megawatthours
2023-02-15T12,CISO,California Independent System Operator,D,Demand,21969,megawatthours
2023-02-15T13,CISO,California Independent System Operator,D,Demand,21802,megawatthours
2023-02-15T14,CISO,California Independent System Operator,D,Demand,22464,megawatthours
2023-02-15T15,CISO,California Independent System Operator,D,Demand,24209,megawatthours
2023-02-15T16,CISO,California Independent System Operator,D,Demand,26651,megawatthours
2023-02-15T17,CISO,California Independent System Operator,D,Demand,27105,megawatthours
2023-02-15T18,CISO,California Independent System Operator,D,Demand,25367,megawatthours
2023-02-15T19,CISO,California Independent System Operator,D,Demand,23430,megawatthours
2023-02-15T20,CISO,California Independent System Operator,D,Demand,22168,megawatthours
2023-02-15T21,CISO,California Independent System Operator,D,Demand,21549,megawatthours
2023-02-15T22,CISO,California Independent System Operator,D,Demand,20805,megawatthours
2023-02-15T23,CISO,California Independent System Operator,D,Demand,20474,megawatthours
2023-02-16T00,CISO,California Independent System Operator,D,Demand,20970,megawatthours
2023-02-16T01,CISO,California Independent System Operator,D,Demand,21268,megawatthours
2023-02-16T02,CISO,California Independent System Operator,D,Demand,23341,megawatthours
2023-02-16T03,CISO,California Independent System Operator,D,Demand,26479,megawatthours
2023-02-16T04,CISO,California Independent System Operator,D,Demand,28220,megawatthours
2023-02-16T05,CISO,California Independent System Operator,D,Demand,28138,megawatthours
2023-02-16T06,CISO,California Independent System Operator,D,Demand,27579,megawatthours
2023-02-16T07,CISO,California Independent System Operator,D,Demand,26864,megawatthours
2023-02-16T08,CISO,California Independent System Operator,D,Demand,25518,megawatthours
2023-02-16T09,CISO,California Independent System Operator,D,Demand,24184,megawatthours
2023-02-16T10,CISO,California Independent System Operator,D,Demand,23295,megawatthours
2023-02-16T11,CISO,California Independent System Operator,D,Demand,22772,megawatthours
2023-02-16T12,CISO,California Independent System Operator,D,Demand,22436,megawatthours
2023-02-16T13,CISO,California Independent System Operator,D,Demand,22548,megawatthours
2023-02-16T14,CISO,California Independent System Operator,D,Demand,23099,megawatthours
2023-02-16T15,CISO,California Independent System Operator,D,Demand,24869,megawatthours
2023-02-16T16,CISO,California Independent System Operator,D,Demand,27209,megawatthours
2023-02-16T17,CISO,California Independent System Operator,D,Demand,27725,megawatthours
2023-02-16T18,CISO,California Independent System Operator,D,Demand,26270,megawatthours
2023-02-16T19,CISO,California Independent System Operator,D,Demand,24603,megawatthours
2023-02-16T20,CISO,California Independent System Operator,D,Demand,23180,megawatthours
2023-02-16T21,CISO,California Independent System Operator,D,Demand,22375,megawatthours
2023-02-16T22,CISO,California Independent System Operator,D,Demand,22359,megawatthours
2023-02-16T23,CISO,California Independent System Operator,D,Demand,21893,megawatthours
2023-02-17T00,CISO,California Independent System Operator,D,Demand,21635,megawatthours
2023-02-17T01,CISO,California Independent System Operator,D,Demand,22166,megawatthours
2023-02-17T02,CISO,California Independent System Operator,D,Demand,23912,megawatthours
2023-02-17T03,CISO,California Independent System Operator,D,Demand,26228,megawatthours
2023-02-17T04,CISO,California Independent System Operator,D,Demand,28165,megawatthours
2023-02-17T05,CISO,California Independent System Operator,D,Demand,28040,megawatthours
2023-02-17T06,CISO,California Independent System Operator,D,Demand,27381,megawatthours
2023-02-17T07,CISO,California Independent System Operator,D,Demand,26544,megawatthours
2023-02-17T08,CISO,California Independent System Operator,D,Demand,25112,megawatthours
2023-02-17T09,CISO,California Independent System Operator,D,Demand,23724,megawatthours
2023-02-17T10,CISO,California Independent System Operator,D,Demand,23119,megawatthours
2023-02-17T11,CISO,California Independent System Operator,D,Demand,22382,megawatthours
2023-02-17T12,CISO,California Independent System Operator,D,Demand,22131,megawatthours
2023-02-17T13,CISO,California Independent System Operator,D,Demand,21865,megawatthours
2023-02-17T14,CISO,California Independent System Operator,D,Demand,22152,megawatthours
2023-02-17T15,CISO,California Independent System Operator,D,Demand,23731,megawatthours
2023-02-17T16,CISO,California Independent System Operator,D,Demand,25904,megawatthours
2023-02-17T17,CISO,California Independent System Operator,D,Demand,26473,megawatthours
2023-02-17T18,CISO,California Independent System Operator,D,Demand,25188,megawatthours
2023-02-17T19,CISO,California Independent System Operator,D,Demand,23389,megawatthours
2023-02-17T20,CISO,California Independent System Operator,D,Demand,21928,megawatthours
2023-02-17T21,CISO,California Independent System Operator,D,Demand,21142,megawatthours
2023-02-17T22,CISO,California Independent System Operator,D,Demand,20440,megawatthours
2023-02-17T23,CISO,California Independent System Operator,D,Demand,20339,megawatthours
2023-02-18T00,CISO,California Independent System Operator,D,Demand,20353,megawatthours
2023-02-18T01,CISO,California Independent System Operator,D,Demand,20478,megawatthours
2023-02-18T02,CISO,California Independent System Operator,D,Demand,22730,megawatthours
2023-02-18T03,CISO,California Independent System Operator,D,Demand,25314,megawatthours
2023-02-18T04,CISO,California Independent System Operator,D,Demand,26544,megawatthours
2023-02-18T05,CISO,California Independent System Operator,D,Demand,26232,megawatthours
2023-02-18T06,CISO,California Independent System Operator,D,Demand,25996,megawatthours
2023-02-18T07,CISO,California Independent System Operator,D,Demand,25495,megawatthours
2023-02-18T08,CISO,California Independent System Operator,D,Demand,24436,megawatthours
2023-02-18T09,CISO,California Independent System Operator,D,Demand,23265,megawatthours
2023-02-18T10,CISO,California Independent System Operator,D,Demand,22520,megawatthours
2023-02-18T11,CISO,California Independent System Operator,D,Demand,21597,megawatthours
2023-02-18T12,CISO,California Independent System Operator,D,Demand,21202,megawatthours
2023-02-18T13,CISO,California Independent System Operator,D,Demand,21234,megawatthours
2023-02-18T14,CISO,California Independent System Operator,D,Demand,21172,megawatthours
2023-02-18T15,CISO,California Independent System Operator,D,Demand,21650,megawatthours
2023-02-18T16,CISO,California Independent System Operator,D,Demand,22593,megawatthours
2023-02-18T17,CISO,California Independent System Operator,D,Demand,22733,megawatthours
2023-02-18T18,CISO,California Independent System Operator,D,Demand,21751,megawatthours
2023-02-18T19,CISO,California Independent System Operator,D,Demand,20047,megawatthours
2023-02-18T20,CISO,California Independent System Operator,D,Demand,18927,megawatthours
2023-02-18T21,CISO,California Independent System Operator,D,Demand,18858,megawatthours
2023-02-18T22,CISO,California Independent System Operator,D,Demand,18343,megawatthours
2023-02-18T23,CISO,California Independent System Operator,D,Demand,18458,megawatthours
2023-02-19T00,CISO,California Independent System Operator,D,Demand,17901,megawatthours
2023-02-19T01,CISO,California Independent System Operator,D,Demand,18554,megawatthours
2023-02-19T02,CISO,California Independent System Operator,D,Demand,20161,megawatthours
2023-02-19T03,CISO,California Independent System Operator,D,Demand,23032,megawatthours
2023-02-19T04,CISO,California Independent System Operator,D,Demand,24579,megawatthours
2023-02-19T05,CISO,California Independent System Operator,D,Demand,24599,megawatthours
2023-02-19T06,CISO,California Independent System Operator,D,Demand,24237,megawatthours
2023-02-19T07,CISO,California Independent System Operator,D,Demand,24042,megawatthours
2023-02-19T08,CISO,California Independent System Operator,D,Demand,23184,megawatthours
2023-02-19T09,CISO,California Independent System Operator,D,Demand,22239,megawatthours
2023-02-19T10,CISO,California Independent System Operator,D,Demand,21752,megawatthours
2023-02-19T11,CISO,California Independent System Operator,D,Demand,21209,megawatthours
2023-02-19T12,CISO,California Independent System Operator,D,Demand,20722,megawatthours
2023-02-19T13,CISO,California Independent System Operator,D,Demand,20400,megawatthours
2023-02-19T14,CISO,California Independent System Operator,D,Demand,20413,megawatthours
2023-02-19T15,CISO,California Independent System Operator,D,Demand,21153,megawatthours
2023-02-19T16,CISO,California Independent System Operator,D,Demand,21873,megawatthours
2023-02-19T17,CISO,California Independent System Operator,D,Demand,21470,megawatthours
2023-02-19T18,CISO,California Independent System Operator,D,Demand,20966,megawatthours
2023-02-19T19,CISO,California Independent System Operator,D,Demand,19290,megawatthours
2023-02-19T20,CISO,California Independent System Operator,D,Demand,18085,megawatthours
2023-02-19T21,CISO,California Independent System Operator,D,Demand,17440,megawatthours
2023-02-19T22,CISO,California Independent System Operator,D,Demand,16796,megawatthours
2023-02-19T23,CISO,California Independent System Operator,D,Demand,16673,megawatthours
2023-02-20T00,CISO,California Independent System Operator,D,Demand,17340,megawatthours
2023-02-20T01,CISO,California Independent System Operator,D,Demand,18495,megawatthours
2023-02-20T02,CISO,California Independent System Operator,D,Demand,20496,megawatthours
2023-02-20T03,CISO,California Independent System Operator,D,Demand,22704,megawatthours
2023-02-20T04,CISO,California Independent System Operator,D,Demand,24436,megawatthours
2023-02-20T05,CISO,California Independent System Operator,D,Demand,24400,megawatthours
2023-02-20T06,CISO,California Independent System Operator,D,Demand,23959,megawatthours
2023-02-20T07,CISO,California Independent System Operator,D,Demand,23582,megawatthours
2023-02-20T08,CISO,California Independent System Operator,D,Demand,22918,megawatthours
2023-02-20T09,CISO,California Independent System Operator,D,Demand,21717,megawatthours
2023-02-20T10,CISO,California Independent System Operator,D,Demand,21247,megawatthours
2023-02-20T11,CISO,California Independent System Operator,D,Demand,20610,megawatthours
2023-02-20T12,CISO,California Independent System Operator,D,Demand,20314,megawatthours
2023-02-20T13,CISO,California Independent System Operator,D,Demand,20331,megawatthours
2023-02-20T14,CISO,California Independent System Operator,D,Demand,20773,megawatthours
2023-02-20T15,CISO,California Independent System Operator,D,Demand,21905,megawatthours
2023-02-20T16,CISO,California Independent System Operator,D,Demand,23297,megawatthours
2023-02-20T17,CISO,California Independent System Operator,D,Demand,23346,megawatthours
2023-02-20T18,CISO,California Independent System Operator,D,Demand,22667,megawatthours
2023-02-20T19,CISO,California Independent System Operator,D,Demand,21330,megawatthours
2023-02-20T20,CISO,California Independent System Operator,D,Demand,20373,megawatthours
2023-02-20T21,CISO,California Independent System Operator,D,Demand,19489,megawatthours
2023-02-20T22,CISO,California Independent System Operator,D,Demand,19003,megawatthours
2023-02-20T23,CISO,California Independent System Operator,D,Demand,19234,megawatthours
2023-02-21T00,CISO,California Independent System Operator,D,Demand,19229,megawatthours
2023-02-21T01,CISO,California Independent System Operator,D,Demand,20271,megawatthours
2023-02-21T02,CISO,California Independent System Operator,D,Demand,21974,megawatthours
2023-02-21T03,CISO,California Independent System Operator,D,Demand,24572,megawatthours
2023-02-21T04,CISO,California Independent System Operator,D,Demand,25797,megawatthours
2023-02-21T05,CISO,California Independent System Operator,D,Demand,25523,megawatthours
2023-02-21T06,CISO,California Independent System Operator,D,Demand,24909,megawatthours
2023-02-21T07,CISO,California Independent System Operator,D,Demand,24153,megawatthours
2023-02-21T08,CISO,California Independent System Operator,D,Demand,22851,megawatthours
2023-02-21T09,CISO,California Independent System Operator,D,Demand,21463,megawatthours
2023-02-21T10,CISO,California Independent System Operator,D,Demand,21008,megawatthours
2023-02-21T11,CISO,California Independent System Operator,D,Demand,20625,megawatthours
2023-02-21T12,CISO,California Independent System Operator,D,Demand,20224,megawatthours
2023-02-21T13,CISO,California Independent System Operator,D,Demand,20274,megawatthours
2023-02-21T14,CISO,California Independent System Operator,D,Demand,20798,megawatthours
2023-02-21T15,CISO,California Independent System Operator,D,Demand,22004,megawatthours
2023-02-21T16,CISO,California Independent System Operator,D,Demand,23801,megawatthours
2023-02-21T17,CISO,California Independent System Operator,D,Demand,24429,megawatthours
2023-02-21T18,CISO,California Independent System Operator,D,Demand,24133,megawatthours
2023-02-21T19,CISO,California Independent System Operator,D,Demand,22908,megawatthours
2023-02-21T20,CISO,California Independent System Operator,D,Demand,21473,megawatthours
2023-02-21T21,CISO,California Independent System Operator,D,Demand,20766,megawatthours
2023-02-21T22,CISO,California Independent System Operator,D,Demand,21476,megawatthours
2023-02-21T23,CISO,California Independent System Operator,D,Demand,21316,megawatthours
2023-02-22T00,CISO,California Independent System Operator,D,Demand,20966,megawatthours
2023-02-22T01,CISO,California Independent System Operator,D,Demand,21935,megawatthours
2023-02-22T02,CISO,California Independent System Operator,D,Demand,23918,megawatthours
2023-02-22T03,CISO,California Independent System Operator,D,Demand,25810,megawatthours
2023-02-22T04,CISO,California Independent System Operator,D,Demand,26940,megawatthours
2023-02-22T05,CISO,California Independent System Operator,D,Demand,26718,megawatthours
2023-02-22T06,CISO,California Independent System Operator,D,Demand,26169,megawatthours
2023-02-22T07,CISO,California Independent System Operator,D,Demand,25473,megawatthours
2023-02-22T08,CISO,California Independent System Operator,D,Demand,24252,megawatthours
2023-02-22T09,CISO,California Independent System Operator,D,Demand,23140,megawatthours
2023-02-22T10,CISO,California Independent System Operator,D,Demand,22375,megawatthours
2023-02-22T11,CISO,California Independent System Operator,D,Demand,21844,megawatthours
2023-02-22T12,CISO,California Independent System Operator,D,Demand,21465,megawatthours
2023-02-22T13,CISO,California Independent System Operator,D,Demand,21406,megawatthours
2023-02-22T14,CISO,California Independent System Operator,D,Demand,21943,megawatthours
2023-02-22T15,CISO,California Independent System Operator,D,Demand,23122,megawatthours
2023-02-22T16,CISO,California Independent System Operator,D,Demand,25154,megawatthours
2023-02-22T17,CISO,California Independent System Operator,D,Demand,25537,megawatthours
2023-02-22T18,CISO,California Independent System Operator,D,Demand,24525,megawatthours
2023-02-22T19,CISO,California Independent System Operator,D,Demand,22801,megawatthours
2023-02-22T20,CISO,California Independent System Operator,D,Demand,21758,megawatthours
2023-02-22T21,CISO,California Independent System Operator,D,Demand,21325,megawatthours
2023-02-22T22,CISO,California Independent System Operator,D,Demand,21358,megawatthours
2023-02-22T23,CISO,California Independent System Operator,D,Demand,20852,megawatthours
2023-02-23T00,CISO,California Independent System Operator,D,Demand,21855,megawatthours
2023-02-23T01,CISO,California Independent System Operator,D,Demand,22549,megawatthours
2023-02-23T02,CISO,California Independent System Operator,D,Demand,24249,megawatthours
2023-02-23T03,CISO,California Independent System Operator,D,Demand,26999,megawatthours
2023-02-23T04,CISO,California Independent System Operator,D,Demand,28745,megawatthours
2023-02-23T05,CISO,California Independent System Operator,D,Demand,28634,megawatthours
2023-02-23T06,CISO,California Independent System Operator,D,Demand,28066,megawatthours
2023-02-23T07,CISO,California Independent System Operator,D,Demand,27209,megawatthours
2023-02-23T08,CISO,California Independent System Operator,D,Demand,25652,megawatthours
2023-02-23T09,CISO,California Independent System Operator,D,Demand,24338,megawatthours
2023-02-23T10,CISO,California Independent System Operator,D,Demand,23566,megawatthours
2023-02-23T11,CISO,California Independent System Operator,D,Demand,23401,megawatthours
2023-02-23T12,CISO,California Independent System Operator,D,Demand,22678,megawatthours
2023-02-23T13,CISO,California Independent System Operator,D,Demand,22446,megawatthours
2023-02-23T14,CISO,California Independent System Operator,D,Demand,22537,megawatthours
2023-02-23T15,CISO,California Independent System Operator,D,Demand,24008,megawatthours
2023-02-23T16,CISO,California Independent System Operator,D,Demand,26339,megawatthours
2023-02-23T17,CISO,California Independent System Operator,D,Demand,26926,megawatthours
2023-02-23T18,CISO,California Independent System Operator,D,Demand,26654,megawatthours
2023-02-23T19,CISO,California Independent System Operator,D,Demand,26164,megawatthours
2023-02-23T20,CISO,California Independent System Operator,D,Demand,26157,megawatthours
2023-02-23T21,CISO,California Independent System Operator,D,Demand,25329,megawatthours
2023-02-23T22,CISO,California Independent System Operator,D,Demand,24342,megawatthours
2023-02-23T23,CISO,California Independent System Operator,D,Demand,23436,megawatthours
2023-02-24T00,CISO,California Independent System Operator,D,Demand,23344,megawatthours
2023-02-24T01,CISO,California Independent System Operator,D,Demand,23511,megawatthours
2023-02-24T02,CISO,California Independent System Operator,D,Demand,24960,megawatthours
2023-02-24T03,CISO,California Independent System Operator,D,Demand,27498,megawatthours
2023-02-24T04,CISO,California Independent System Operator,D,Demand,28887,megawatthours
2023-02-24T05,CISO,California Independent System Operator,D,Demand,28697,megawatthours
2023-02-24T06,CISO,California Independent System Operator,D,Demand,28048,megawatthours
2023-02-24T07,CISO,California Independent System Operator,D,Demand,27224,megawatthours
2023-02-24T08,CISO,California Independent System Operator,D,Demand,25843,megawatthours
2023-02-24T09,CISO,California Independent System Operator,D,Demand,24565,megawatthours
2023-02-24T10,CISO,California Independent System Operator,D,Demand,23315,megawatthours
2023-02-24T11,CISO,California Independent System Operator,D,Demand,22547,megawatthours
2023-02-24T12,CISO,California Independent System Operator,D,Demand,22121,megawatthours
2023-02-24T13,CISO,California Independent System Operator,D,Demand,22169,megawatthours
2023-02-24T14,CISO,California Independent System Operator,D,Demand,22331,megawatthours
2023-02-24T15,CISO,California Independent System Operator,D,Demand,23714,megawatthours
2023-02-24T16,CISO,California Independent System Operator,D,Demand,25768,megawatthours
2023-02-24T17,CISO,California Independent System Operator,D,Demand,26655,megawatthours
2023-02-24T18,CISO,California Independent System Operator,D,Demand,26978,megawatthours
2023-02-24T19,CISO,California Independent System Operator,D,Demand,26974,megawatthours
2023-02-24T20,CISO,California Independent System Operator,D,Demand,27475,megawatthours
2023-02-24T21,CISO,California Independent System Operator,D,Demand,27446,megawatthours
2023-02-24T22,CISO,California Independent System Operator,D,Demand,27233,megawatthours
2023-02-24T23,CISO,California Independent System Operator,D,Demand,26710,megawatthours
2023-02-25T00,CISO,California Independent System Operator,D,Demand,26051,megawatthours
2023-02-25T01,CISO,California Independent System Operator,D,Demand,26197,megawatthours
2023-02-25T02,CISO,California Independent System Operator,D,Demand,26484,megawatthours
2023-02-25T03,CISO,California Independent System Operator,D,Demand,27594,megawatthours
2023-02-25T04,CISO,California Independent System Operator,D,Demand,28362,megawatthours
2023-02-25T05,CISO,California Independent System Operator,D,Demand,27997,megawatthours
2023-02-25T06,CISO,California Independent System Operator,D,Demand,27361,megawatthours
2023-02-25T07,CISO,California Independent System Operator,D,Demand,26380,megawatthours
2023-02-25T08,CISO,California Independent System Operator,D,Demand,25072,megawatthours
2023-02-25T09,CISO,California Independent System Operator,D,Demand,23776,megawatthours
2023-02-25T10,CISO,California Independent System Operator,D,Demand,22748,megawatthours
2023-02-25T11,CISO,California Independent System Operator,D,Demand,22227,megawatthours
2023-02-25T12,CISO,California Independent System Operator,D,Demand,21824,megawatthours
2023-02-25T13,CISO,California Independent System Operator,D,Demand,21465,megawatthours
2023-02-25T14,CISO,California Independent System Operator,D,Demand,21471,megawatthours
2023-02-25T15,CISO,California Independent System Operator,D,Demand,22015,megawatthours
2023-02-25T16,CISO,California Independent System Operator,D,Demand,22871,megawatthours
2023-02-25T17,CISO,California Independent System Operator,D,Demand,23951,megawatthours
2023-02-25T18,CISO,California Independent System Operator,D,Demand,25095,megawatthours
2023-02-25T19,CISO,California Independent System Operator,D,Demand,26047,megawatthours
2023-02-25T20,CISO,California Independent System Operator,D,Demand,26254,megawatthours
2023-02-25T21,CISO,California Independent System Operator,D,Demand,25350,megawatthours
2023-02-25T22,CISO,California Independent System Operator,D,Demand,24614,megawatthours
2023-02-25T23,CISO,California Independent System Operator,D,Demand,23950,megawatthours
2023-02-26T00,CISO,California Independent System Operator,D,Demand,24195,megawatthours
2023-02-26T01,CISO,California Independent System Operator,D,Demand,24003,megawatthours
2023-02-26T02,CISO,California Independent System Operator,D,Demand,24041,megawatthours
2023-02-26T03,CISO,California Independent System Operator,D,Demand,25777,megawatthours
2023-02-26T04,CISO,California Independent System Operator,D,Demand,27036,megawatthours
2023-02-26T05,CISO,California Independent System Operator,D,Demand,26837,megawatthours
2023-02-26T06,CISO,California Independent System Operator,D,Demand,26369,megawatthours
2023-02-26T07,CISO,California Independent System Operator,D,Demand,25735,megawatthours
2023-02-26T08,CISO,California Independent System Operator,D,Demand,24515,megawatthours
2023-02-26T09,CISO,California Independent System Operator,D,Demand,23334,megawatthours
2023-02-26T10,CISO,California Independent System Operator,D,Demand,22824,megawatthours
2023-02-26T11,CISO,California Independent System Operator,D,Demand,22039,megawatthours
2023-02-26T12,CISO,California Independent System Operator,D,Demand,21457,megawatthours
2023-02-26T13,CISO,California Independent System Operator,D,Demand,21291,megawatthours
2023-02-26T14,CISO,California Independent System Operator,D,Demand,21241,megawatthours
2023-02-26T15,CISO,California Independent System Operator,D,Demand,21528,megawatthours
2023-02-26T16,CISO,California Independent System Operator,D,Demand,21905,megawatthours
2023-02-26T17,CISO,California Independent System Operator,D,Demand,22580,megawatthours
2023-02-26T18,CISO,California Independent System Operator,D,Demand,22027,megawatthours
2023-02-26T19,CISO,California Independent System Operator,D,Demand,21234,megawatthours
2023-02-26T20,CISO,California Independent System Operator,D,Demand,20944,megawatthours
2023-02-26T21,CISO,California Independent System Operator,D,Demand,20696,megawatthours
2023-02-26T22,CISO,California Independent System Operator,D,Demand,20777,megawatthours
2023-02-26T23,CISO,California Independent System Operator,D,Demand,21087,megawatthours
2023-02-27T00,CISO,California Independent System Operator,D,Demand,21844,megawatthours
2023-02-27T01,CISO,California Independent System Operator,D,Demand,22606,megawatthours
2023-02-27T02,CISO,California Independent System Operator,D,Demand,23899,megawatthours
2023-02-27T03,CISO,California Independent System Operator,D,Demand,25542,megawatthours
2023-02-27T04,CISO,California Independent System Operator,D,Demand,27051,megawatthours
2023-02-27T05,CISO,California Independent System Operator,D,Demand,26822,megawatthours
2023-02-27T06,CISO,California Independent System Operator,D,Demand,26263,megawatthours
2023-02-27T07,CISO,California Independent System Operator,D,Demand,25646,megawatthours
2023-02-27T08,CISO,California Independent System Operator,D,Demand,24238,megawatthours
2023-02-27T09,CISO,California Independent System Operator,D,Demand,22789,megawatthours
2023-02-27T10,CISO,California Independent System Operator,D,Demand,22169,megawatthours
2023-02-27T11,CISO,California Independent System Operator,D,Demand,21818,megawatthours
2023-02-27T12,CISO,California Independent System Operator,D,Demand,21463,megawatthours
2023-02-27T13,CISO,California Independent System Operator,D,Demand,21348,megawatthours
2023-02-27T14,CISO,California Independent System Operator,D,Demand,21889,megawatthours
2023-02-27T15,CISO,California Independent System Operator,D,Demand,23298,megawatthours
2023-02-27T16,CISO,California Independent System Operator,D,Demand,25437,megawatthours
2023-02-27T17,CISO,California Independent System Operator,D,Demand,26760,megawatthours
2023-02-27T18,CISO,California Independent System Operator,D,Demand,27110,megawatthours
2023-02-27T19,CISO,California Independent System Operator,D,Demand,26579,megawatthours
2023-02-27T20,CISO,California Independent System Operator,D,Demand,26834,megawatthours
2023-02-27T21,CISO,California Independent System Operator,D,Demand,27151,megawatthours
2023-02-27T22,CISO,California Independent System Operator,D,Demand,26554,megawatthours
2023-02-27T23,CISO,California Independent System Operator,D,Demand,25777,megawatthours
2023-02-28T00,CISO,California Independent System Operator,D,Demand,25111,megawatthours
2023-02-28T01,CISO,California Independent System Operator,D,Demand,24982,megawatthours
2023-02-28T02,CISO,California Independent System Operator,D,Demand,25842,megawatthours
2023-02-28T03,CISO,California Independent System Operator,D,Demand,27720,megawatthours
2023-02-28T04,CISO,California Independent System Operator,D,Demand,29114,megawatthours
2023-02-28T05,CISO,California Independent System Operator,D,Demand,28746,megawatthours
2023-02-28T06,CISO,California Independent System Operator,D,Demand,28093,megawatthours
2023-02-28T07,CISO,California Independent System Operator,D,Demand,26978,megawatthours
2023-02-28T08,CISO,California Independent System Operator,D,Demand,25370,megawatthours
2023-02-28T09,CISO,California Independent System Operator,D,Demand,23825,megawatthours
2023-02-28T10,CISO,California Independent System Operator,D,Demand,23078,megawatthours
2023-02-28T11,CISO,California Independent System Operator,D,Demand,22313,megawatthours
2023-02-28T12,CISO,California Independent System Operator,D,Demand,21777,megawatthours
2023-02-28T13,CISO,California Independent System Operator,D,Demand,21761,megawatthours
2023-02-28T14,CISO,California Independent System Operator,D,Demand,22210,megawatthours
2023-02-28T15,CISO,California Independent System Operator,D,Demand,23330,megawatthours
