period,respondent,respondent-name,type,type-name,value,value-units
2023-01-04T13,CISO,California Independent System Operator,D,Demand,21837,megawatthours
2023-01-04T14,CISO,California Independent System Operator,D,Demand,22127,megawatthours
2023-01-04T15,CISO,California Independent System Operator,D,Demand,22685,megawatthours
2023-01-04T16,CISO,California Independent System Operator,D,Demand,24344,megawatthours
2023-01-04T17,CISO,California Independent System Operator,D,Demand,25546,megawatthours
2023-01-04T18,CISO,California Independent System Operator,D,Demand,26359,megawatthours
2023-01-04T19,CISO,California Independent System Operator,D,Demand,26236,megawatthours
2023-01-04T20,CISO,California Independent System Operator,D,Demand,26413,megawatthours
2023-01-04T21,CISO,California Independent System Operator,D,Demand,26235,megawatthours
2023-01-04T22,CISO,California Independent System Operator,D,Demand,26001,megawatthours
2023-01-04T23,CISO,California Independent System Operator,D,Demand,25879,megawatthours
2023-01-05T00,CISO,California Independent System Operator,D,Demand,25564,megawatthours
2023-01-05T01,CISO,California Independent System Operator,D,Demand,25674,megawatthours
2023-01-05T02,CISO,California Independent System Operator,D,Demand,26690,megawatthours
2023-01-05T03,CISO,California Independent System Operator,D,Demand,28147,megawatthours
2023-01-05T04,CISO,California Independent System Operator,D,Demand,28017,megawatthours
2023-01-05T05,CISO,California Independent System Operator,D,Demand,27209,megawatthours
2023-01-05T06,CISO,California Independent System Operator,D,Demand,26516,megawatthours
2023-01-05T07,CISO,California Independent System Operator,D,Demand,25527,megawatthours
2023-01-05T08,CISO,California Independent System Operator,D,Demand,24112,megawatthours
2023-01-05T09,CISO,California Independent System Operator,D,Demand,23450,megawatthours
2023-01-05T10,CISO,California Independent System Operator,D,Demand,22655,megawatthours
2023-01-05T11,CISO,California Independent System Operator,D,Demand,22219,megawatthours
2023-01-05T12,CISO,California Independent System Operator,D,Demand,21701,megawatthours
2023-01-05T13,CISO,California Independent System Operator,D,Demand,21073,megawatthours
2023-01-05T14,CISO,California Independent System Operator,D,Demand,20951,megawatthours
2023-01-05T15,CISO,California Independent System Operator,D,Demand,21804,megawatthours
2023-01-05T16,CISO,California Independent System Operator,D,Demand,23725,megawatthours
2023-01-05T17,CISO,California Independent System Operator,D,Demand,25103,megawatthours
2023-01-05T18,CISO,California Independent System Operator,D,Demand,25942,megawatthours
2023-01-05T19,CISO,California Independent System Operator,D,Demand,26402,megawatthours
2023-01-05T20,CISO,California Independent System Operator,D,Demand,27238,megawatthours
2023-01-05T21,CISO,California Independent System Operator,D,Demand,27090,megawatthours
2023-01-05T22,CISO,California Independent System Operator,D,Demand,27185,megawatthours
2023-01-05T23,CISO,California Independent System Operator,D,Demand,26226,megawatthours
2023-01-06T00,CISO,California Independent System Operator,D,Demand,25477,megawatthours
2023-01-06T01,CISO,California Independent System Operator,D,Demand,25253,megawatthours
2023-01-06T02,CISO,California Independent System Operator,D,Demand,25931,megawatthours
2023-01-06T03,CISO,California Independent System Operator,D,Demand,27614,megawatthours
2023-01-06T04,CISO,California Independent System Operator,D,Demand,27834,megawatthours
2023-01-06T05,CISO,California Independent System Operator,D,Demand,27301,megawatthours
2023-01-06T06,CISO,California Independent System Operator,D,Demand,26638,megawatthours
2023-01-06T07,CISO,California Independent System Operator,D,Demand,25800,megawatthours
2023-01-06T08,CISO,California Independent System Operator,D,Demand,24429,megawatthours
2023-01-06T09,CISO,California Independent System Operator,D,Demand,23001,megawatthours
2023-01-06T10,CISO,California Independent System Operator,D,Demand,22409,megawatthours
2023-01-06T11,CISO,California Independent System Operator,D,Demand,21903,megawatthours
2023-01-06T12,CISO,California Independent System Operator,D,Demand,21858,megawatthours
2023-01-06T13,CISO,California Independent System Operator,D,Demand,21645,megawatthours
2023-01-06T14,CISO,California Independent System Operator,D,Demand,21769,megawatthours
2023-01-06T15,CISO,California Independent System Operator,D,Demand,22902,megawatthours
2023-01-06T16,CISO,California Independent System Operator,D,Demand,24434,megawatthours
2023-01-06T17,CISO,California Independent System Operator,D,Demand,25719,megawatthours
2023-01-06T18,CISO,California Independent System Operator,D,Demand,25628,megawatthours
2023-01-06T19,CISO,California Independent System Operator,D,Demand,24787,megawatthours
2023-01-06T20,CISO,California Independent System Operator,D,Demand,23766,megawatthours
2023-01-06T21,CISO,California Independent System Operator,D,Demand,23248,megawatthours
2023-01-06T22,CISO,California Independent System Operator,D,Demand,22598,megawatthours
2023-01-06T23,CISO,California Independent System Operator,D,Demand,22741,megawatthours
2023-01-07T00,CISO,California Independent System Operator,D,Demand,23297,megawatthours
2023-01-07T01,CISO,California Independent System Operator,D,Demand,23581,megawatthours
2023-01-07T02,CISO,California Independent System Operator,D,Demand,25216,megawatthours
2023-01-07T03,CISO,California Independent System Operator,D,Demand,27226,megawatthours
2023-01-07T04,CISO,California Independent System Operator,D,Demand,27141,megawatthours
2023-01-07T05,CISO,California Independent System Operator,D,Demand,26705,megawatthours
2023-01-07T06,CISO,California Independent System Operator,D,Demand,26243,megawatthours
2023-01-07T07,CISO,California Independent System Operator,D,Demand,25581,megawatthours
2023-01-07T08,CISO,California Independent System Operator,D,Demand,24342,megawatthours
2023-01-07T09,CISO,California Independent System Operator,D,Demand,23140,megawatthours
2023-01-07T10,CISO,California Independent System Operator,D,Demand,22150,megawatthours
2023-01-07T11,CISO,California Independent System Operator,D,Demand,21850,megawatthours
2023-01-07T12,CISO,California Independent System Operator,D,Demand,21215,megawatthours
2023-01-07T13,CISO,California Independent System Operator,D,Demand,20855,megawatthours
2023-01-07T14,CISO,California Independent System Operator,D,Demand,20963,megawatthours
2023-01-07T15,CISO,California Independent System Operator,D,Demand,21615,megawatthours
2023-01-07T16,CISO,California Independent System Operator,D,Demand,22414,megawatthours
2023-01-07T17,CISO,California Independent System Operator,D,Demand,22735,megawatthours
2023-01-07T18,CISO,California Independent System Operator,D,Demand,23365,megawatthours
2023-01-07T19,CISO,California Independent System Operator,D,Demand,22958,megawatthours
2023-01-07T20,CISO,California Independent System Operator,D,Demand,22809,megawatthours
2023-01-07T21,CISO,California Independent System Operator,D,Demand,22013,megawatthours
2023-01-07T22,CISO,California Independent System Operator,D,Demand,21896,megawatthours
2023-01-07T23,CISO,California Independent System Operator,D,Demand,21764,megawatthours
2023-01-08T00,CISO,California Independent System Operator,D,Demand,22131,megawatthours
2023-01-08T01,CISO,California Independent System Operator,D,Demand,22930,megawatthours
2023-01-08T02,CISO,California Independent System Operator,D,Demand,24079,megawatthours
2023-01-08T03,CISO,California Independent System Operator,D,Demand,25792,megawatthours
2023-01-08T04,CISO,California Independent System Operator,D,Demand,25704,megawatthours
2023-01-08T05,CISO,California Independent System Operator,D,Demand,25348,megawatthours
2023-01-08T06,CISO,California Independent System Operator,D,Demand,24889,megawatthours
2023-01-08T07,CISO,California Independent System Operator,D,Demand,24303,megawatthours
2023-01-08T08,CISO,California Independent System Operator,D,Demand,23633,megawatthours
2023-01-08T09,CISO,California Independent System Operator,D,Demand,22588,megawatthours
2023-01-08T10,CISO,California Independent System Operator,D,Demand,21750,megawatthours
2023-01-08T11,CISO,California Independent System Operator,D,Demand,20841,megawatthours
2023-01-08T12,CISO,California Independent System Operator,D,Demand,20439,megawatthours
2023-01-08T13,CISO,California Independent System Operator,D,Demand,19978,megawatthours
2023-01-08T14,CISO,California Independent System Operator,D,Demand,19891,megawatthours
2023-01-08T15,CISO,California Independent System Operator,D,Demand,20303,megawatthours
2023-01-08T16,CISO,California Independent System Operator,D,Demand,20886,megawatthours
2023-01-08T17,CISO,California Independent System Operator,D,Demand,21408,megawatthours
2023-01-08T18,CISO,California Independent System Operator,D,Demand,21443,megawatthours
2023-01-08T19,CISO,California Independent System Operator,D,Demand,20838,megawatthours
2023-01-08T20,CISO,California Independent System Operator,D,Demand,20406,megawatthours
2023-01-08T21,CISO,California Independent System Operator,D,Demand,20128,megawatthours
