datetime,Actual Demand,SARIMA Forecast,Prophet Forecast,Hybrid Forecast
2023-11-01 00:00:00,23438.0,23334.6792691288,22778.244389714,23167.74880530436
2023-11-01 01:00:00,25119.0,24754.325464041194,23936.122831459023,24508.86467426654
2023-11-01 02:00:00,26577.0,26394.230501386697,25332.45920166953,26075.69911147155
2023-11-01 03:00:00,26975.0,27315.63620161377,26612.58011775048,27104.71937645478
2023-11-01 04:00:00,26150.0,26955.053864918114,27294.93434789621,27057.01800981154
2023-11-01 05:00:00,25573.0,26143.060603427508,27057.922662793608,26417.519221237337
2023-11-01 06:00:00,25134.0,25332.178935544525,25968.939467516848,25523.20709513622
2023-11-01 07:00:00,23966.0,23931.19546263479,24443.83240856221,24084.986546413013
2023-11-01 08:00:00,22634.0,22556.5521738869,22960.24047760945,22677.658665003662
2023-11-01 09:00:00,21976.0,21780.41658775236,21771.69739286217,21777.8008292853
2023-11-01 10:00:00,21490.0,21066.60999025576,20861.861962012124,21005.18558178267
2023-11-01 11:00:00,21039.0,20664.089523610048,20144.073663541443,20508.084765589465
2023-11-01 12:00:00,20784.0,20496.59685735103,19677.8122041642,20250.961461394974
2023-11-01 13:00:00,20797.0,20645.991999127204,19668.41486166468,20352.718857888445
2023-11-01 14:00:00,21971.0,21339.02543736878,20243.30548918497,21010.30945291364
2023-11-01 15:00:00,23936.0,23079.14821082408,21232.33031188905,22525.102841143573
2023-11-01 16:00:00,25458.0,24266.945037859638,22189.690313031977,23643.76862041133
2023-11-01 17:00:00,25747.0,24668.61497252237,22669.437654564237,24068.861777134924
2023-11-01 18:00:00,25637.0,24528.512972247383,22525.250320455078,23927.53417670969
2023-11-01 19:00:00,25064.0,23655.717253843963,21981.392376307587,23153.419790583048
2023-11-01 20:00:00,24420.0,22927.0801428022,21433.93074174872,22479.135322486152
2023-11-01 21:00:00,23955.0,22635.62345489969,21179.270338020127,22198.71751983582
2023-11-01 22:00:00,23773.0,22540.572853266,21303.18325712691,22169.35597442427
2023-11-01 23:00:00,23950.0,22757.25211783885,21776.452187512263,22463.012138740876
2023-11-02 00:00:00,24821.0,23707.710800311936,22592.579462389065,23373.171398935072
2023-11-02 01:00:00,25833.0,25139.774173911494,23763.11845498675,24726.777458234068
2023-11-02 02:00:00,27367.0,26726.92348881964,25169.382660289262,26259.661240260524
2023-11-02 03:00:00,28248.0,27621.50983413324,26456.505060903408,27272.00840216429
2023-11-02 04:00:00,27594.0,27261.079123714862,27142.7962317938,27225.594256138545
2023-11-02 05:00:00,26626.0,26421.967686323733,26906.574356036843,26567.349687237664
2023-11-02 06:00:00,25901.0,25596.50483745445,25815.206202495632,25662.1152469668
2023-11-02 07:00:00,24416.0,24196.700438593543,24284.565278579197,24223.05989058924
2023-11-02 08:00:00,23075.0,22828.292883494723,22792.367711061142,22817.515331764647
2023-11-02 09:00:00,22601.0,22029.52412522848,21592.272678494177,21898.348691208183
2023-11-02 10:00:00,22052.0,21309.82468036933,20668.109147222392,21117.310020425244
2023-11-02 11:00:00,21671.0,20876.951653092437,19933.42721036793,20593.89432027508
2023-11-02 12:00:00,20953.0,20649.144577968917,19447.95285361873,20288.78706066386
2023-11-02 13:00:00,20990.0,20741.865262013845,19417.30003273098,20344.495693228982
2023-11-02 14:00:00,22025.0,21410.02424561869,19969.194019582254,20977.775177807755
2023-11-02 15:00:00,24021.0,23014.14641943997,20933.801234097355,22390.042863837185
2023-11-02 16:00:00,25484.0,24099.830647912,21865.655448595848,23429.57808811716
2023-11-02 17:00:00,25576.0,24567.055426794974,22319.14790255236,23892.683169522188
2023-11-02 18:00:00,25521.0,24475.149156014628,22148.295609616987,23777.09309209533
2023-11-02 19:00:00,24755.0,23637.70985815376,21577.695344633576,23019.705504097703
2023-11-02 20:00:00,24742.0,22907.492673606725,21003.734299722168,22336.36516144136
2023-11-02 21:00:00,24298.0,22627.55214276884,20723.119362584523,22056.222308713543
2023-11-02 22:00:00,24208.0,22603.30153959766,20821.90074989144,22068.881302685797
2023-11-02 23:00:00,25047.0,22956.012248331263,21271.110312837554,22450.54166768315
2023-11-03 00:00:00,25537.0,23973.652750254743,22064.465957040826,23400.896712290567
2023-11-03 01:00:00,26169.0,25403.599708875023,23213.69897014845,24746.62948725705
2023-11-03 02:00:00,27768.0,26969.269059375576,24600.259658108505,26258.56623899545
2023-11-03 03:00:00,28694.0,27850.383735140545,25869.37394052534,27256.08079675598
2023-11-03 04:00:00,28159.0,27484.79244401378,26539.399401860894,27201.17453136791
2023-11-03 05:00:00,27149.0,26632.52317185304,26288.65400618089,26529.362422151396
2023-11-03 06:00:00,26213.0,25797.86050968477,25184.456546297755,25613.839320668667
2023-11-03 07:00:00,24538.0,24393.775740654983,23642.585054371342,24168.41853476989
2023-11-03 08:00:00,23043.0,23022.78363560216,22140.613727539014,22758.132663183213
2023-11-03 09:00:00,22409.0,22212.92408781181,20932.01518045613,21828.651415605105
2023-11-03 10:00:00,21565.0,21487.32772585481,20000.38975881467,21041.24633574277
2023-11-03 11:00:00,20873.0,21041.36395812292,19259.0201785402,20506.660824248105
2023-11-03 12:00:00,20706.0,20791.612846846263,18767.330274683514,20184.32807519744
2023-11-03 13:00:00,21038.0,20863.62852685036,18730.60169193336,20223.720476375256
2023-11-03 14:00:00,21306.0,21520.778722216663,19276.20241427376,20847.40582983379
2023-11-03 15:00:00,23554.0,23080.63063341783,20233.92228047687,22226.61812753554
2023-11-03 16:00:00,24850.0,24132.3578892246,21157.90529733157,23240.02211165669
2023-11-03 17:00:00,25017.0,24616.137673495607,21602.14620381193,23711.940232590503
2023-11-03 18:00:00,24952.0,24535.689199869576,21420.265481452472,23601.06208434444
2023-11-03 19:00:00,24615.0,23705.964244076386,20836.470205528352,22845.11603251197
2023-11-03 20:00:00,23856.0,22972.47185107761,20246.771630205472,22154.76178481597
2023-11-03 21:00:00,23529.0,22693.29826466587,19947.52136484329,21869.565194719096
2023-11-03 22:00:00,23711.0,22687.733082698,20024.44177504914,21888.74569040334
2023-11-03 23:00:00,24254.0,23078.83117951752,20448.27083021166,22289.66307472576
2023-11-04 00:00:00,25102.0,24114.26304537028,21212.47274374674,23243.72595488321
2023-11-04 01:00:00,25838.0,25541.26692430539,22328.57110868523,24577.45817961934
2023-11-04 02:00:00,27286.0,27098.26173293801,23677.859842294227,26072.141165744877
2023-11-04 03:00:00,27895.0,27973.19289880765,24905.464509248224,27052.87438193982
2023-11-04 04:00:00,27163.0,27603.996918706347,25529.70244566878,26981.70857679508
2023-11-04 05:00:00,26333.0,26745.797685375783,25228.91482543077,26290.73282739228
2023-11-04 06:00:00,25540.0,25906.46963937296,24070.50968190364,25355.68165213216
2023-11-04 07:00:00,24435.0,24499.2701366041,22470.4220639905,23890.615714820025
2023-11-04 08:00:00,23236.0,23125.742433277857,20906.451842481438,22459.95525603893
2023-11-04 09:00:00,22127.0,22310.857842056124,19632.365951451568,21507.310274874755
2023-11-04 10:00:00,21258.0,21581.86162814534,18632.12678335976,20696.941174709664
2023-11-04 11:00:00,20561.0,21130.39798574092,17819.44499805136,20137.11208943405
2023-11-04 12:00:00,20091.0,20872.54591776277,17254.23553751982,19787.052803689887
2023-11-04 13:00:00,19982.0,20936.89025789981,17142.330698001675,19798.522389930367
2023-11-04 14:00:00,20275.0,21589.33811912957,17611.7041865626,20396.04793935948
2023-11-04 15:00:00,21090.0,23134.54489790091,18492.801352441427,21742.02183426306
2023-11-04 16:00:00,21799.0,24174.77736268456,19340.465456270824,22724.483790760434
2023-11-04 17:00:00,22473.0,24662.291330077034,19709.42749501073,23176.43217955714
2023-11-04 18:00:00,23343.0,24584.09239278962,19454.073848762782,23045.086829581567
2023-11-04 19:00:00,22885.0,23755.537365210403,18799.39922612931,22268.695923486077
2023-11-04 20:00:00,21916.0,23019.9559596263,18142.21589008148,21556.63393876285
2023-11-04 21:00:00,21281.0,22739.950110536254,17779.681115894033,21251.86941214359
2023-11-04 22:00:00,21021.0,22738.977953195223,17798.318617220633,21256.780152402844
2023-11-04 23:00:00,20964.0,23140.628803329317,18169.654265667323,21649.336442030715
2023-11-05 00:00:00,21962.0,24180.4612605815,18887.917558888737,22592.698150073666
2023-11-05 01:00:00,23628.0,25605.67054975699,19965.36564996708,23913.57907982001
2023-11-05 02:00:00,25112.0,27159.182938952006,21283.985360932013,25396.623665546005
2023-11-05 03:00:00,25933.0,28031.413576867508,22489.545859461232,26368.85326164562
2023-11-05 04:00:00,25529.0,27660.32407754068,23100.950528421978,26292.512012805066
2023-11-05 05:00:00,24896.0,26799.5633311062,22797.0612711648,25598.812713123774
2023-11-05 06:00:00,24126.0,25958.083434274427,21645.734364682885,24664.37871339696
2023-11-05 07:00:00,23086.0,24549.22658762197,20063.2741309452,23203.44085061894
2023-11-05 08:00:00,21979.0,23174.243002780517,18527.76502657667,21780.29960991936
2023-11-05 09:00:00,21433.0,22357.18077558018,17293.169011622474,20837.977246392868
2023-11-05 10:00:00,20666.0,21626.520705335643,16343.549982144192,20041.629488378207
